feature_num_trains,feature_num_intervals,feature_num_points,feature_num_stations,feature_num_crossings,feature_num_depots,feature_num_routes,feature_max_time,feature_alpha,feature_avg_num_trips,feature_avg_service_time_min,feature_avg_service_time_max,feature_avg_arcs_in_cost_matrix,feature_avg_demands_per_day,Instances,algo_Model,algo_Enum,algo_Heuristic
2,1,5,5,3,2,2,61598.0,41.0,6.0,128.2,592.0,669.75,8.8,t2p5r2h1,0.0,0.0,0.0
2,3,6,4,6,3,7,51649.0,48.0,4.0,90.16666666666667,307.0,668.2,3.0,t2p6r7h3,0.0,0.0,0.0
2,1,7,6,5,3,8,24317.0,64.0,7.0,104.0,371.0,143.16666666666666,9.285714285714286,t2p7r8h1,0.0,0.0,0.0
2,2,8,8,3,2,2,36657.0,90.0,4.0,116.75,367.0,359.14285714285717,5.25,t2p8r2h2,0.0,0.0,0.0
2,3,9,9,2,2,2,42397.0,71.0,10.0,119.22222222222223,426.0,142.75,16.0,t2p9r2h3,0.0,0.0,0.0
3,1,5,4,4,3,7,14317.0,82.0,3.0,164.8,494.0,262.75,3.6,t3p5r7h1,0.0,0.0,0.0
3,1,6,5,3,2,2,36251.0,58.0,7.0,155.16666666666666,444.0,197.2,12.0,t3p6r2h1,0.0,0.0,0.0
3,3,7,5,7,3,6,40019.0,75.0,4.0,93.42857142857143,365.0,294.3333333333333,5.142857142857143,t3p7r6h3,0.0,0.0,0.0
3,1,8,7,5,3,7,8707.0,44.0,5.0,81.875,333.0,39.714285714285715,10.5,t3p8r7h1,0.0,0.0,0.0
3,3,9,8,4,3,7,31558.0,82.0,2.0,77.33333333333333,391.0,552.0,2.3333333333333335,t3p9r7h3,0.0,0.0,0.0
4,2,5,4,4,3,7,37968.0,48.0,6.0,109.0,466.0,425.0,12.0,t4p5r7h2,0.0,0.0,0.0
4,1,6,5,6,3,7,42700.0,54.0,8.0,131.83333333333334,359.0,299.4,18.666666666666668,t4p6r7h1,0.0,0.0,0.0
4,4,7,7,5,3,7,36927.0,50.0,4.0,155.42857142857142,474.0,424.6666666666667,10.285714285714286,t4p7r7h4,0.0,0.0,0.0
4,1,8,7,3,2,2,23803.0,46.0,4.0,130.0,473.0,237.85714285714286,9.0,t4p8r2h1,0.0,0.0,0.0
4,1,9,7,5,2,2,10511.0,46.0,3.0,80.44444444444444,339.0,107.875,6.666666666666667,t4p9r2h1,0.0,0.0,0.0
5,5,5,5,2,2,2,50387.0,77.0,3.0,122.0,550.0,857.25,8.0,t5p5r2h5,0.0,0.0,0.0
5,1,6,5,5,3,6,21011.0,57.0,6.0,120.83333333333333,518.0,154.0,17.333333333333332,t5p6r6h1,1.75459825750242,1.1737657308809293,0.0
5,2,7,6,5,2,2,35651.0,59.0,6.0,89.28571428571429,491.0,198.33333333333334,20.0,t5p7r2h2,5.430949358160531,0.9545304932524569,0.0
5,3,8,7,4,3,8,30409.0,51.0,3.0,103.25,417.0,318.42857142857144,9.0,t5p8r8h3,0.0,0.0,0.0
5,3,9,7,6,2,2,27814.0,80.0,3.0,100.77777777777777,530.0,245.125,8.0,t5p9r2h3,0.0,0.0,0.0
3,3,10,10,5,3,6,46158.0,63.0,4.0,123.3,423.0,232.77777777777777,8.1,t3p10r6h3,0.0,0.0,0.0
3,1,11,11,3,2,2,62344.0,55.0,7.0,137.72727272727272,523.0,160.9,17.272727272727273,t3p11r2h1,0.0,0.0,0.0
3,3,12,12,2,2,2,58976.0,66.0,2.0,118.5,579.0,705.7272727272727,2.75,t3p12r2h3,0.0,0.0,0.0
3,2,13,11,7,4,12,34661.0,86.0,3.0,154.23076923076923,536.0,196.25,4.615384615384615,t3p13r12h2,0.0,0.0,0.0
3,5,14,13,4,3,8,43885.0,44.0,5.0,91.07142857142857,560.0,112.6923076923077,8.571428571428571,t3p14r8h5,0.0,0.0,0.0
4,3,10,9,6,3,6,27894.0,67.0,4.0,151.7,476.0,221.77777777777777,9.6,t4p10r6h3,0.0,0.0,0.0
4,2,11,10,3,2,2,47246.0,53.0,6.0,113.27272727272727,374.0,213.3,18.0,t4p11r2h2,0.0,0.0,0.0
4,2,12,10,7,2,2,59749.0,52.0,4.0,111.5,302.0,364.54545454545456,10.5,t4p12r2h2,0.0,0.0,0.0
4,1,13,11,7,3,8,51430.0,64.0,4.0,108.46153846153847,320.0,277.8333333333333,10.76923076923077,t4p13r8h1,0.0,0.0,0.0
